============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  20 mm) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  180  2 .3339629E+07   2000000E+02  .2084E+07 -.2914E+07   .9991337  .0290083 -.0298404
T  181  2 .3374776E+07   2000000E+02 -.2621E+06  .1018E+07   .9999964  .0010313  .0024756
T  182  2 .3284063E+07   2000000E+02 -.4091E+06  .2149E+06   .9999715  .0056190  .0050514
T  183  2 .3375860E+07   2000000E+02 -.3218E+07 -.2064E+07   .9994357 -.0271955 -.0197137
T  184  2 .3232136E+07   2000000E+02  .8564E+06 -.4043E+06   .9997744  .0035572 -.0209398
T  185  2 .3324736E+07   2000000E+02  .2760E+07  .5995E+05   .9997779  .0208679  .0029509
T  186  2 .3314045E+07   2000000E+02  .1180E+07 -.4662E+06   .9999578  .0076944 -.0050096
T  187  2 .3325019E+07   2000000E+02  .1655E+07  .9525E+06   .9999683  .0070617  .0036893
T  188  2 .3298596E+07   2000000E+02 -.1236E+07 -.1722E+07   .9990854 -.0382323 -.0191496
T  189  2 .3346426E+07   2000000E+02  .1088E+08  .1111E+08   .9956249  .0549735  .0755574
T  190  2 .3416281E+07   2000000E+02  .1958E+06  .1045E+07   .9998473  .0148507  .0092153
T  191  2 .3408847E+07   2000000E+02  .2545E+06  .2203E+06   .9998931  .0146180  .0004403
T  192  2 .3338382E+07   2000000E+02 -.4967E+06  .5460E+06   .9999196 -.0075021 -.0102206
T  193  2 .3341526E+07   2000000E+02 -.1181E+07 -.2496E+07   .9996666 -.0143847 -.0214400
T  194  2 .3335344E+07   2000000E+02 -.1966E+07 -.9174E+06   .9998632 -.0146570 -.0076702
T  195  2 .3326454E+07   2000000E+02 -.2244E+07  .1221E+07   .9998163 -.0065569  .0180109
T  196  2 .3387110E+07   2000000E+02 -.1552E+07  .1136E+07   .9998603 -.0162644  .0038456
T  197  2 .3341367E+07   2000000E+02 -.9935E+05 -.1377E+07   .9998804  .0048444 -.0146875
T  198  2 .3386363E+07   2000000E+02 -.2248E+07  .1181E+07   .9996011 -.0278110  .0049133
T  199  2 .3376914E+07   2000000E+02  .1851E+07  .8316E+06   .9993846  .0168334  .0307736
T  200  2 .3297324E+07   2000000E+02  .9883E+06  .1395E+07   .9998815  .0153957 -.0000409
T  201  2 .3287421E+07   2000000E+02 -.1340E+08  .2327E+08   .9886645 -.0766752  .1290866
T  202  2 .3334420E+07   2000000E+02 -.1077E+07  .3181E+07   .9993644 -.0245609  .0258382
T  203  2 .3344606E+07   2000000E+02 -.1535E+07 -.1630E+07   .9999132 -.0073419 -.0109363
T  204  2 .3319479E+07   2000000E+02  .3984E+06 -.2401E+07   .9997631  .0005230 -.0217583
T  205  2 .3341569E+07   2000000E+02  .1590E+07  .8661E+06   .9998007  .0166415  .0110256
T  206  2 .3369574E+07   2000000E+02 -.6931E+06  .1292E+07   .9995442 -.0277662  .0118527
T  207  2 .3381975E+07   2000000E+02  .1657E+07 -.8706E+06   .9998906  .0093696 -.0114492
T  208  2 .3359511E+07   2000000E+02  .1004E+07  .1450E+07   .9989903  .0344733  .0288091
T  209  2 .3355734E+07   2000000E+02 -.2322E+07 -.8697E+06   .9996465 -.0254962 -.0075423
T  210  2 .3385045E+07   2000000E+02  .8484E+06  .3033E+06   .9992504  .0161242 -.0351943
T  211  2 .3356192E+07   2000000E+02 -.9513E+06  .2216E+07   .9997782  .0074257  .0197093
T  212  2 .3342513E+07   2000000E+02 -.1047E+07  .7502E+06   .9997973 -.0153369  .0130415
T  213  2 .3335337E+07   2000000E+02 -.6831E+06  .3845E+06   .9999034 -.0128710  .0052386
T  214  2 .3324258E+07   2000000E+02 -.8850E+06 -.2323E+07   .9998813 -.0141606 -.0060732
T  215  2 .3317101E+07   2000000E+02  .2265E+07  .7344E+06   .9999247  .0114636  .0043828
T  216  2 .3299954E+07   2000000E+02  .3275E+06 -.5996E+06   .9999829 -.0027166  .0051715
T  217  2 .3344085E+07   2000000E+02 -.1852E+07 -.7117E+06   .9998769 -.0156637  .0008850
T  218  2 .3315803E+07   2000000E+02 -.3470E+07 -.1976E+07   .9994534 -.0236739 -.0230749
T  219  2 .3336583E+07   2000000E+02  .2064E+07 -.3316E+07   .9996125  .0258483 -.0103282
T  220  2 .3357770E+07   2000000E+02 -.5015E+05  .5575E+06   .9999837  .0037243  .0043213
T  221  2 .3373056E+07   2000000E+02 -.1027E+07  .3113E+07   .9991944 -.0315475  .0248037
T  222  2 .3367696E+07   2000000E+02  .1175E+07 -.2754E+06   .9998620  .0082417 -.0144255
T  223  2 .3319977E+07   2000000E+02 -.1701E+07  .9470E+05   .9998006 -.0199644  .0004397
T  224  2 .3358560E+07   2000000E+02  .2585E+06 -.3700E+06   .9997561  .0208009 -.0074261
T  225  2 .3348597E+07   2000000E+02  .3880E+07  .1900E+07   .9965063  .0823683  .0138057
T  226  2 .3336293E+07   2000000E+02 -.1514E+07  .6659E+06   .9997445  .0203457  .0098533
T  227  2 .3329658E+07   2000000E+02  .3090E+07  .7576E+06   .9995134  .0261622  .0169858
T  228  2 .3308467E+07   2000000E+02 -.1369E+06  .1131E+07   .9999858  .0036689  .0038526
T  229  2 .3312370E+07   2000000E+02 -.4813E+06  .1080E+07   .9998553  .0047127  .0163446
T  230  2 .3340120E+07   2000000E+02  .4858E+06 -.3068E+06   .9999835  .0055802 -.0013987
T  231  2 .3336017E+07   2000000E+02 -.1113E+07  .1434E+07   .9999145 -.0052515  .0119714
T  232  2 .3370564E+07   2000000E+02  .5235E+06 -.6520E+06   .9999872  .0010044 -.0049663
T  233  2 .3333891E+07   2000000E+02  .1775E+07  .6254E+06   .9999540  .0089279 -.0035144
T  234  2 .3296345E+07   2000000E+02 -.5989E+07  .9350E+06   .9990372 -.0409731  .0156809
T  235  2 .3380958E+07   2000000E+02  .1716E+06  .9023E+05   .9999706  .0050947  .0057271
T  236  2 .3370175E+07   2000000E+02 -.1385E+07 -.4974E+06   .9998564 -.0167607 -.0025029
