============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar+Mylar( 14.3 um) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  101  2 .3696720E+07   1440015E-01 -.4186E+02  .2528E+04   .9990352 -.0003909  .0439159
T  102  2 .3683191E+07   1440018E-01  .8982E+03  .5475E+03   .9998456  .0174139  .0023418
T  103  2 .3751773E+07   1440017E-01  .1085E+04 -.3516E+02   .9998823  .0152457  .0016949
T  104  2 .3724884E+07   1440019E-01 -.6706E+03 -.4692E+03   .9999565 -.0091013 -.0020318
T  105  2 .3685345E+07   1440005E-01 -.2169E+03 -.1956E+03   .9999456 -.0104080 -.0006421
T  106  2 .3681887E+07   1440015E-01  .3832E+03  .1361E+04   .9998841 -.0002761  .0152188
T  107  2 .3708649E+07   1440011E-01 -.1094E+04  .4228E+03   .9999622 -.0079846 -.0034421
T  108  2 .3736322E+07   1440021E-01  .1189E+03  .1115E+04   .9999351 -.0052763  .0101015
T  109  2 .3708480E+07   1440012E-01 -.1696E+03 -.6301E+03   .9999352 -.0086059  .0074573
T  110  2 .3651302E+07   1440008E-01  .1062E+04 -.5083E+03   .9999678  .0078580  .0016513
T  111  2 .3690322E+07   1440021E-01 -.1057E+04 -.3566E+03   .9998046 -.0175671 -.0090629
T  112  2 .3715397E+07   1440020E-01  .6311E+03 -.1448E+03   .9999403  .0108667  .0011276
T  113  2 .3680644E+07   1440007E-01 -.5055E+03 -.3036E+03   .9999604 -.0070581 -.0054153
T  114  2 .3654896E+07   1440012E-01  .6893E+03 -.6940E+03   .9999586  .0051211 -.0075258
T  115  2 .3750438E+07   1440009E-01  .1555E+04 -.1058E+04   .9996975  .0201835 -.0140537
T  116  2 .3666248E+07   1440016E-01  .2915E+02  .1941E+02   .9999962  .0010508 -.0025397
T  117  2 .3695392E+07   1440017E-01  .1428E+04  .1408E+04   .9997456  .0207752  .0087854
T  118  2 .3677748E+07   1440012E-01 -.5701E+02 -.9778E+02   .9999679  .0006149  .0079864
T  119  2 .3697674E+07   1440019E-01  .2876E+03  .9113E+03   .9998459  .0015507  .0174859
T  120  2 .3700958E+07   1440017E-01  .3231E+02 -.7490E+03   .9999034 -.0053737 -.0128217
T  121  2 .3713741E+07   1440017E-01  .6340E+03 -.4076E+03   .9997712  .0070862 -.0201819
T  122  2 .3717862E+07   1440001E-01  .6064E+03  .1526E+04   .9994341  .0192511  .0275830
T  123  2 .3672977E+07   1440005E-01 -.7575E+03 -.5549E+02   .9999869 -.0030579 -.0040983
T  124  2 .3707370E+07   1440019E-01  .1420E+04 -.7449E+03   .9996686  .0233683 -.0107983
T  125  2 .3631437E+07   1440005E-01  .7257E+03  .1691E+03   .9999419  .0037842  .0100901
T  126  2 .3635709E+07   1440001E-01  .1700E+04 -.5732E+02   .9997955  .0201775 -.0013611
T  127  2 .3680650E+07   1440018E-01 -.1563E+04  .3248E+03   .9998489 -.0166140  .0051120
T  128  2 .3658319E+07   1440014E-01 -.2769E+03  .6706E+03   .9998353  .0002262  .0181497
T  129  2 .3633853E+07   1440013E-01  .5193E+03  .1079E+03   .9995762  .0245623  .0156218
T  130  2 .3678898E+07   1440022E-01 -.1069E+04  .9433E+02   .9999462 -.0102389  .0016888
T  131  2 .3688785E+07   1440021E-01  .1036E+03 -.5805E+03   .9999457 -.0009178 -.0103819
T  132  2 .3740898E+07   1440021E-01 -.1199E+04  .8857E+02   .9999528 -.0071578  .0065715
T  133  2 .3697098E+07   1440007E-01  .3865E+03  .4781E+03   .9999808 -.0005656  .0061725
T  134  2 .3670970E+07   1440002E-01 -.3916E+03  .7760E+03   .9999518 -.0067474  .0071343
T  135  2 .3683297E+07   1440014E-01  .1627E+04  .1546E+03   .9998747  .0158284 -.0002593
T  136  2 .3674195E+07   1440006E-01  .7034E+03  .5797E+03   .9999587  .0090681 -.0006418
T  137  2 .3723353E+07   1440007E-01 -.4050E+03  .1164E+04   .9999297 -.0108477  .0047776
T  138  2 .3753952E+07   1440016E-01  .4119E+03  .1888E+04   .9997695 -.0023481  .0213386
T  139  2 .3658483E+07   1440006E-01 -.1397E+01  .2281E+04   .9997177 -.0017761  .0236924
T  140  2 .3695698E+07   1440015E-01  .2244E+03  .4457E+03   .9999685 -.0008379  .0078979
T  141  2 .3690239E+07   1440015E-01 -.2641E+03  .1808E+03   .9999989 -.0014442 -.0002918
T  142  2 .3675849E+07   1440010E-01  .6687E+03 -.1702E+04   .9986153  .0292367 -.0437333
T  143  2 .3708562E+07   1440008E-01  .3322E+03  .4778E+03   .9999547  .0094884  .0006888
T  144  2 .3656205E+07   1440001E-01  .9590E+03 -.7610E+03   .9998161  .0186254 -.0045666
T  145  2 .3705029E+07   1440018E-01  .2699E+03 -.8165E+03   .9999281  .0046576 -.0110456
T  146  2 .3655354E+07   1440012E-01  .8758E+03 -.6593E+03   .9998553  .0150540 -.0079252
T  147  2 .3667264E+07   1440015E-01  .1486E+03 -.3295E+02   .9999964  .0004027  .0026494
T  148  2 .3691818E+07   1440014E-01 -.1172E+04 -.6712E+03   .9997597 -.0206688 -.0073060
T  149  2 .3713391E+07   1440015E-01 -.1279E+04  .5996E+03   .9999193 -.0072168  .0104555
T  150  2 .3678688E+07   1440013E-01 -.2506E+03 -.6387E+03   .9998242 -.0062200 -.0176865
T  151  2 .3642110E+07   1440013E-01 -.1508E+04  .4679E+03   .9997672 -.0161034  .0143592
T  152  2 .3637195E+07   1440009E-01  .9340E+03  .2404E+03   .9999643  .0079045 -.0029884
T  153  2 .3690098E+07   1440011E-01 -.1031E+04  .1787E+04   .9998114 -.0032233  .0191511
T  154  2 .3696206E+07   1440008E-01 -.5559E+03  .3748E+03   .9999667  .0067487  .0045857
T  155  2 .3640582E+07   1440007E-01  .1096E+04 -.1035E+04   .9995446  .0262676 -.0148550
T  156  2 .3722989E+07   1440008E-01 -.3919E+03  .1197E+03   .9999686 -.0075464  .0024343
