============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar( 10.7 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  187  2 .4172261E+07   1080020E-01  .1764E+04 -.6827E+03   .9996732  .0255649 -.0000924
T  188  2 .4174041E+07   1080011E-01 -.5865E+03 -.4549E+03   .9999048 -.0137303 -.0013803
T  189  2 .4183191E+07   1080016E-01  .1991E+03 -.1351E+03   .9999741  .0071796 -.0004004
T  190  2 .4164975E+07   1080001E-01 -.1210E+03 -.8164E+02   .9999992 -.0002240 -.0012106
T  191  2 .4160232E+07   1080018E-01 -.1425E+03  .1696E+04   .9999075  .0061886  .0121142
T  192  2 .4195812E+07   1080005E-01 -.6650E+03 -.7344E+03   .9997806 -.0132211 -.0162461
T  193  2 .4168087E+07   1080021E-01  .1705E+04  .1522E+03   .9998629  .0157401 -.0051378
T  194  2 .4187473E+07   1080010E-01 -.3641E+03 -.4052E+03   .9999607 -.0062119 -.0063197
T  195  2 .4190734E+07   1080010E-01  .9601E+03 -.1155E+04   .9997842  .0159357 -.0133278
T  196  2 .4190061E+07   1080019E-01  .2798E+03  .5116E+03   .9999479  .0076581  .0067500
T  197  2 .4181940E+07   1080004E-01 -.6808E+03  .2080E+04   .9996833 -.0032553  .0249555
T  198  2 .4191799E+07   1080016E-01  .1034E+03 -.7192E+02   .9999744  .0033788  .0063003
T  199  2 .4183362E+07   1080000E-01  .1219E+03 -.5551E+03   .9999624  .0042125 -.0075844
T  200  2 .4155201E+07   1080019E-01 -.1909E+03  .1768E+03   .9999884 -.0045546  .0015953
T  201  2 .4175380E+07   1080015E-01 -.2006E+04  .1642E+04   .9998232 -.0150964  .0112119
T  202  2 .4162506E+07   1080001E-01 -.1984E+03 -.1343E+02   .9999964  .0023708  .0012202
T  203  2 .4206989E+07   1080008E-01 -.3291E+03  .3000E+03   .9998417 -.0170175  .0051925
T  204  2 .4171263E+07   1080015E-01  .4164E+03  .6398E+03   .9999240  .0036274  .0117860
T  205  2 .4171717E+07   1080011E-01 -.4363E+03  .8072E+02   .9999339 -.0069468  .0091595
T  206  2 .4172185E+07   1080013E-01  .7336E+03  .1957E+04   .9984610  .0413954  .0369060
T  207  2 .4184401E+07   1080017E-01  .4442E+02  .2689E+03   .9999994 -.0004421  .0009658
T  208  2 .4158598E+07   1080001E-01 -.5652E+03 -.6247E+03   .9997804 -.0047695 -.0204079
T  209  2 .4183776E+07   1080015E-01  .9492E+03 -.8414E+03   .9998915  .0114175 -.0093071
T  210  2 .4183349E+07   1080013E-01 -.3856E+03 -.1090E+04   .9996586  .0035475 -.0258877
T  211  2 .4176447E+07   1080012E-01 -.2374E+04 -.5498E+03   .9990126 -.0408483 -.0174731
T  212  2 .4157357E+07   1080001E-01 -.8900E+03 -.4248E+03   .9999440 -.0104774 -.0015037
T  213  2 .4181016E+07   1080001E-01 -.2388E+03  .3698E+03   .9999082 -.0127827  .0044849
T  214  2 .4152534E+07   1080018E-01  .3299E+04 -.3467E+03   .9983819  .0555011 -.0123788
T  215  2 .4176247E+07   1080008E-01 -.1608E+03  .6115E+03   .9999915 -.0029356  .0028823
T  216  2 .4194530E+07   1080001E-01  .3514E+02  .3628E+03   .9999456  .0095420  .0042196
T  217  2 .4169332E+07   1080007E-01 -.8647E+03  .2471E+03   .9998361 -.0176063  .0042189
T  218  2 .4199892E+07   1080013E-01 -.9247E+02 -.3216E+03   .9999277  .0063688 -.0102008
T  219  2 .4227270E+07   1080017E-01  .1063E+03 -.1416E+03   .9999606 -.0007087 -.0088510
T  220  2 .4153125E+07   1080019E-01  .1744E+02 -.2117E+03   .9999939 -.0034055 -.0007242
T  221  2 .4183668E+07   1080018E-01 -.3139E+03  .1476E+03   .9999450 -.0102179 -.0023848
T  222  2 .4229740E+07   1080021E-01  .3642E+03  .5412E+03   .9999773  .0036419  .0056720
T  223  2 .4183414E+07   1080003E-01 -.1300E+04  .2266E+03   .9997583 -.0189790  .0110969
T  224  2 .4196757E+07   1080006E-01 -.3038E+03  .6251E+03   .9999185 -.0030485  .0123969
T  225  2 .4125584E+07   1080013E-01  .1560E+03  .6337E+03   .9999227  .0117051  .0041969
T  226  2 .4181476E+07   1080004E-01  .2261E+03 -.2749E+02   .9999828 -.0054486  .0021731
T  227  2 .4161951E+07   1080015E-01 -.1452E+03 -.1722E+02   .9999982 -.0018758 -.0002874
T  228  2 .4167129E+07   1080005E-01 -.2137E+03  .9605E+03   .9999121  .0013444  .0131892
T  229  2 .4162092E+07   1080012E-01 -.1745E+02 -.2613E+03   .9999134 -.0057316 -.0118436
T  230  2 .4195789E+07   1080017E-01 -.1035E+04  .4643E+03   .9998433 -.0156032  .0083569
T  231  2 .4149302E+07   1080017E-01  .1672E+03 -.1647E+04   .9996574  .0050451 -.0256827
T  232  2 .4190414E+07   1080005E-01  .1518E+03  .3280E+03   .9999636  .0038821  .0075954
T  233  2 .4135342E+07   1080020E-01  .6975E+02  .7005E+02   .9999959 -.0007115  .0027591
T  234  2 .4189479E+07   1080020E-01  .1326E+04  .1550E+03   .9997966  .0195683 -.0048894
T  235  2 .4194364E+07   1080019E-01 -.1876E+03  .4040E+03   .9999873 -.0019613  .0046437
T  236  2 .4217318E+07   1080009E-01 -.3571E+03  .1030E+03   .9999898 -.0037091 -.0025932
T  237  2 .4155246E+07   1080002E-01  .7133E+02  .2947E+03   .9999837  .0001418  .0057041
