============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  1 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  125  2 .5389121E+07   1000002E+01  .1450E+06 -.4479E+05   .9998262  .0178900 -.0052375
T  126  2 .5391407E+07   1000001E+01 -.1366E+05  .8705E+04   .9999936 -.0030207  .0019046
T  127  2 .5395452E+07   1000001E+01 -.9739E+03 -.2462E+04   .9999974  .0022706 -.0001151
T  128  2 .5392762E+07   1000002E+01  .2169E+05 -.1842E+05   .9999718  .0055221 -.0050920
T  129  2 .5382393E+07   1000000E+01 -.1504E+05 -.2057E+05   .9999987 -.0009480 -.0013365
T  130  2 .5394387E+07   1000000E+01  .1747E+04 -.9590E+03   .9999999  .0000553 -.0004263
T  131  2 .5391424E+07   1000000E+01  .1484E+04  .5886E+04   .9999889  .0034398  .0032259
T  132  2 .5391435E+07   1000002E+01  .3008E+04  .1649E+04   .9999983  .0016799 -.0007663
T  133  2 .5402223E+07   1000001E+01  .3256E+04  .2995E+04   .9999991  .0011564  .0006137
T  134  2 .5388619E+07   1000001E+01  .1622E+03 -.1070E+04   .9999993  .0000903 -.0012129
T  135  2 .5401062E+07   1000001E+01  .6394E+04  .5146E+04   .9999989  .0014138  .0005379
T  136  2 .5401612E+07   1000001E+01 -.3609E+04 -.2674E+04   .9999822  .0048497  .0034664
T  137  2 .5410198E+07   1000002E+01  .9228E+04  .7837E+03   .9999959  .0028544 -.0003313
T  138  2 .5387995E+07   1000003E+01 -.2120E+05  .3524E+04   .9999761 -.0061144  .0032350
T  139  2 .5398023E+07   1000001E+01 -.6310E+04  .6082E+04   .9999985 -.0016904 -.0003822
T  140  2 .5389297E+07   1000002E+01  .1179E+05  .1600E+04   .9999883  .0047633 -.0008646
T  141  2 .5401131E+07   1000001E+01  .9144E+04  .1008E+04   .9999928  .0037933  .0002933
T  142  2 .5398936E+07   1000002E+01  .3599E+04 -.8746E+04   .9999983  .0015744 -.0009110
T  143  2 .5400326E+07   1000002E+01  .5180E+04  .1073E+05   .9999935  .0007142  .0035352
T  144  2 .5390339E+07   1000002E+01 -.1870E+04 -.1044E+05   .9999914 -.0018727 -.0036917
T  145  2 .5401157E+07   1000002E+01  .5023E+04  .1649E+05   .9999669  .0014768  .0080047
T  146  2 .5388598E+07   1000002E+01 -.2099E+05 -.8072E+04   .9999795 -.0057460 -.0028206
T  147  2 .5391565E+07   1000002E+01  .5828E+04 -.1720E+05   .9999976 -.0002745 -.0021743
T  148  2 .5393956E+07   1000001E+01  .1117E+04  .3894E+04   .9999997  .0004618 -.0006120
T  149  2 .5396314E+07   1000001E+01  .2436E+04 -.5347E+03   .9999999  .0003771 -.0003428
T  150  2 .5406571E+07   1000002E+01  .1020E+05 -.1156E+04   .9999958  .0020425 -.0020582
T  151  2 .5392008E+07   1000003E+01 -.8092E+04 -.3340E+04   .9999892 -.0040453 -.0022983
T  152  2 .5398807E+07   1000001E+01  .1083E+05 -.1154E+04   .9999947  .0032675  .0001062
T  153  2 .5388104E+07   1000001E+01  .2685E+04 -.2363E+04   .9999992  .0009522 -.0008561
T  154  2 .5399839E+07   1000002E+01 -.6128E+04 -.9792E+04   .9999912 -.0023660 -.0034685
T  155  2 .5387469E+07   1000003E+01 -.1784E+04  .2389E+04   .9999990  .0008838  .0011024
T  156  2 .5396811E+07   1000001E+01  .4001E+04  .1482E+03   .9999921  .0036743  .0014959
T  157  2 .5393051E+07   1000003E+01 -.3333E+04  .3048E+04   .9999968 -.0018021  .0017674
T  158  2 .5398960E+07   1000000E+01 -.5788E+04 -.1003E+05   .9999962 -.0027589  .0001485
T  159  2 .5403748E+07   1000002E+01 -.2351E+02 -.4130E+04   .9999968  .0001820 -.0025081
T  160  2 .5402012E+07   1000002E+01  .1244E+05 -.1939E+05   .9999925  .0024143 -.0030341
T  161  2 .5406520E+07   1000002E+01  .5010E+04 -.3866E+04   .9999935  .0032286 -.0016008
T  162  2 .5390702E+07   1000002E+01 -.5571E+04 -.9679E+04   .9999969 -.0019350 -.0015713
T  163  2 .5394984E+07   1000002E+01  .1462E+05 -.7547E+04   .9999953  .0029384 -.0008354
T  164  2 .5382350E+07   1000002E+01 -.1722E+05  .4238E+04   .9999890 -.0046492  .0006436
T  165  2 .5386774E+07   1000002E+01 -.2002E+02  .3605E+04   .9999980  .0015920  .0012192
T  166  2 .5402831E+07   1000002E+01 -.2123E+04  .1275E+05   .9999823  .0014734  .0057730
T  167  2 .5376897E+07   1000002E+01 -.2704E+03  .3621E+04   .9999985  .0016001  .0006521
T  168  2 .5389691E+07   1000001E+01 -.6227E+04 -.7368E+03   .9999944 -.0024149 -.0023114
T  169  2 .5391140E+07   1000001E+01 -.2116E+04 -.2271E+04   .9999946 -.0020403 -.0025707
T  170  2 .5399680E+07   1000002E+01 -.1638E+05 -.4033E+04   .9999744 -.0070917 -.0009788
T  171  2 .5388730E+07   1000000E+01 -.1336E+05 -.2136E+04   .9999933 -.0034480 -.0012391
T  172  2 .5400348E+07   1000001E+01  .3100E+04 -.6780E+04   .9999964 -.0005922 -.0025988
T  173  2 .5385537E+07   1000000E+01  .4426E+04  .3901E+04   .9999987  .0008956  .0013553
T  174  2 .5396200E+07   1000002E+01 -.4494E+04 -.7332E+04   .9999954 -.0023237 -.0019451
T  175  2 .5385135E+07   1000002E+01 -.5013E+04  .1665E+04   .9999938 -.0019824 -.0029259
T  176  2 .5390445E+07   1000001E+01  .2756E+04 -.4648E+03   .9999998  .0005546  .0000577
T  177  2 .5392560E+07   1000003E+01 -.8904E+04 -.5149E+04   .9999993 -.0009914 -.0006820
T  178  2 .5385557E+07   1000002E+01 -.8571E+04  .8007E+04   .9999915 -.0024651  .0033144
T  179  2 .5389677E+07   1000001E+01  .5042E+04  .1893E+04   .9999900  .0038212  .0023387
T  180  2 .5394140E+07   1000001E+01 -.1697E+05  .1087E+05   .9999912 -.0037532  .0018864
T  181  2 .5390771E+07   1000003E+01 -.4929E+04 -.8579E+03   .9999994 -.0007202  .0008084
T  182  2 .5404682E+07   1000000E+01 -.4837E+04  .5757E+04   .9999962 -.0019655  .0019073
T  183  2 .5380754E+07   1000001E+01  .1142E+05 -.1613E+05   .9999871  .0039104 -.0032267
T  184  2 .5401506E+07   1000001E+01 -.1340E+04  .1474E+04   .9999994 -.0008992  .0006394
T  185  2 .5383989E+07   1000002E+01  .8908E+03  .1886E+04   .9999999  .0004081  .0001530
T  186  2 .5397227E+07   1000002E+01  .1058E+05 -.7320E+03   .9999960  .0027212  .0008163
T  187  2 .5377321E+07   1000002E+01  .1206E+05  .8594E+03   .9999997  .0004953 -.0006668
T  188  2 .5381259E+07   1000002E+01 -.1534E+05  .1114E+05   .9999513 -.0096328  .0021595
T  189  2 .5383601E+07   1000002E+01  .4982E+04 -.3658E+04   .9999949  .0028006 -.0015127
T  190  2 .5383807E+07   1000000E+01  .5703E+04 -.4825E+04   .9999942  .0029634 -.0016556
T  191  2 .5385768E+07   1000000E+01  .1182E+04 -.5880E+04   .9999937  .0028035  .0021778
T  192  2 .5383943E+07   1000003E+01  .1340E+05 -.2374E+04   .9999939  .0029584 -.0018306
T  193  2 .5397214E+07   1000001E+01  .1830E+05  .7158E+04   .9999972  .0022313  .0007248
T  194  2 .5387233E+07   1000002E+01 -.1379E+05 -.1142E+05   .9999956 -.0013636 -.0026216
T  195  2 .5398517E+07   1000002E+01 -.8286E+04 -.7900E+04   .9999958  .0011205 -.0026554
T  196  2 .5387890E+07   1000001E+01  .1900E+02 -.5650E+04   .9999981  .0004531 -.0018943
T  197  2 .5398977E+07   1000001E+01 -.5234E+04 -.1222E+05   .9999890  .0008097 -.0046200
T  198  2 .5394519E+07   1000001E+01  .8349E+04 -.1572E+04   .9999845  .0054654 -.0010958
T  199  2 .5386896E+07   1000000E+01 -.7821E+04  .2109E+05   .9999930 -.0015199  .0034082
T  200  2 .5377056E+07   1000002E+01  .1512E+05  .2320E+05   .9999840  .0038834  .0041062
T  201  2 .5400686E+07   1000001E+01 -.8771E+04  .2951E+04   .9999963 -.0024049  .0012642
T  202  2 .5391179E+07   1000002E+01  .2031E+04 -.1422E+04   .9999980  .0013628 -.0014408
T  203  2 .5390956E+07   1000001E+01  .4933E+04 -.1909E+04   .9999992  .0008251 -.0009244
T  204  2 .5394501E+07   1000002E+01  .1228E+05  .1546E+05   .9999864  .0037864  .0035741
T  205  2 .5399293E+07   1000001E+01  .3560E+04 -.1639E+05   .9999993  .0002988 -.0011499
T  206  2 .5397336E+07   1000000E+01 -.1271E+04  .5011E+04   .9999985  .0008453  .0014974
T  207  2 .5402051E+07   1000001E+01 -.7874E+04  .8787E+04   .9999982 -.0011565  .0015217
T  208  2 .5396984E+07   1000002E+01 -.1685E+04 -.6727E+04   .9999942 -.0016761 -.0029592
T  209  2 .5378872E+07   1000001E+01  .1139E+05  .5843E+04   .9999964  .0020232  .0017685
T  210  2 .5402647E+07   1000001E+01 -.3269E+03 -.2607E+04   .9999993  .0011718  .0000644
T  211  2 .5393986E+07   1000002E+01 -.6390E+04  .2931E+05   .9999865 -.0003107  .0051838
T  212  2 .5403868E+07   1000002E+01  .6593E+02 -.1134E+05   .9999908  .0040460 -.0014192
T  213  2 .5395321E+07   1000000E+01 -.3866E+04 -.1163E+05   .9999956  .0002985 -.0029653
T  214  2 .5391028E+07   1000001E+01  .5433E+04  .1463E+05   .9999882  .0033863  .0034844
T  215  2 .5390671E+07   1000000E+01 -.1293E+05 -.5361E+04   .9999980 -.0018311 -.0008328
T  216  2 .5404095E+07   1000000E+01 -.4046E+04 -.2603E+04   .9999999 -.0002665 -.0001073
T  217  2 .5394889E+07   1000002E+01 -.3625E+05 -.1926E+04   .9999647 -.0081047  .0022116
T  218  2 .5390528E+07   1000002E+01 -.3771E+04 -.2051E+04   .9999992 -.0012568  .0000517
T  219  2 .5393585E+07   1000001E+01  .7658E+03 -.3757E+04   .9999966 -.0025798 -.0002338
T  220  2 .5391222E+07   1000000E+01  .1508E+04  .2882E+04   .9999973  .0003176  .0022994
T  221  2 .5392976E+07   1000001E+01  .4929E+04  .4753E+04   .9999996 -.0004081 -.0007717
T  222  2 .5398851E+07   1000002E+01 -.6887E+04  .9948E+03   .9999891 -.0045050  .0012310
T  223  2 .5402185E+07   1000003E+01  .6976E+03  .5306E+04   .9999931  .0023730  .0028701
T  224  2 .5386135E+07   1000000E+01  .4774E+03 -.2382E+04   .9999991  .0013278  .0001909
T  225  2 .5391097E+07   1000000E+01  .9750E+04  .3092E+04   .9999985  .0017171 -.0002296
T  226  2 .5402964E+07   1000002E+01  .8303E+04  .1785E+04   .9999792  .0064367  .0003674
T  227  2 .5395510E+07   1000002E+01  .6045E+04 -.4045E+04   .9999894  .0028307 -.0036184
T  228  2 .5382373E+07   1000002E+01 -.1476E+03  .5999E+04   .9999985 -.0004344  .0016570
T  229  2 .5390401E+07   1000001E+01  .1738E+05  .1197E+05   .9999895  .0040549  .0021316
T  230  2 .5390543E+07   1000000E+01  .2165E+04  .4722E+04   .9999989  .0014800 -.0000146
T  231  2 .5386352E+07   1000002E+01 -.1427E+05 -.2092E+04   .9999939 -.0034894  .0000764
T  232  2 .5385268E+07   1000001E+01  .2093E+04  .1398E+04   .9999972  .0017856  .0015398
T  233  2 .5389085E+07   1000002E+01 -.1040E+05 -.7114E+04   .9999897 -.0039898 -.0021444
T  234  2 .5389455E+07   1000001E+01  .1041E+05 -.3102E+04   .9999956  .0029086 -.0005558
T  235  2 .5392139E+07   1000001E+01 -.1400E+05  .8838E+04   .9999985 -.0013956 -.0010547
T  236  2 .5388894E+07   1000002E+01  .5794E+04 -.7157E+04   .9999978  .0006562 -.0019862
T  237  2 .5392765E+07   1000000E+01 -.7557E+04  .1220E+03   .9999983 -.0018423  .0001124
