============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar( 7.19 um) ====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   90  2 .4663122E+07   7200164E-02  .8212E+02 -.1912E+03   .9999592  .0074304 -.0051337
T   91  2 .4655242E+07   7200187E-02 -.1049E+03  .3086E+02   .9999835 -.0050674  .0026986
T   92  2 .4641921E+07   7200182E-02 -.1923E+03 -.9060E+02   .9999917 -.0038794 -.0012826
T   93  2 .4659100E+07   7200107E-02  .2839E+03  .2016E+04   .9996758  .0059524  .0247561
T   94  2 .4648557E+07   7200111E-02  .1132E+03 -.8969E+02   .9999784  .0028304 -.0059247
T   95  2 .4654875E+07   7200026E-02  .4737E+03 -.3135E+03   .9998750  .0137930 -.0077349
T   96  2 .4639882E+07   7200168E-02  .1689E+02 -.1516E+03   .9999949  .0009435 -.0030370
T   97  2 .4628560E+07   7200154E-02 -.8628E+03  .5469E+03   .9998171 -.0146514  .0122900
T   98  2 .4655099E+07   7200005E-02  .1839E+03 -.1714E+03   .9999877  .0044523 -.0022027
T   99  2 .4649076E+07   7200025E-02 -.4388E+03 -.3240E+03   .9999126 -.0111114 -.0071589
T  100  2 .4661378E+07   7200217E-02 -.5595E+01 -.5287E+02   .9999935 -.0034207  .0011569
T  101  2 .4644652E+07   7200041E-02  .1198E+03  .2361E+03   .9999713  .0055674  .0051392
T  102  2 .4648863E+07   7200097E-02  .2979E+03 -.7712E+02   .9999233  .0106253 -.0063579
T  103  2 .4656734E+07   7200007E-02  .5124E+03  .1002E+03   .9999464  .0094917 -.0041454
T  104  2 .4656491E+07   7200187E-02  .3158E+02 -.5229E+03   .9999559  .0013221 -.0093017
T  105  2 .4667060E+07   7200006E-02 -.1725E+02  .5593E+02   .9999861 -.0016939  .0049942
T  106  2 .4630033E+07   7200197E-02  .1410E+02  .1219E+03   .9999985 -.0003370  .0016725
T  107  2 .4637868E+07   7200194E-02  .1457E+03 -.1374E+03   .9999781 -.0063681 -.0018241
T  108  2 .4646042E+07   7200017E-02 -.9809E+02 -.3304E+03   .9998610 -.0028121 -.0164330
T  109  2 .4631299E+07   7200084E-02 -.2959E+03 -.3604E+02   .9999576 -.0091684  .0008403
T  110  2 .4633589E+07   7200102E-02 -.1354E+02  .5277E+02   .9999865  .0016440  .0049216
T  111  2 .4643363E+07   7200201E-02  .1064E+03 -.1094E+03   .9999898  .0017840  .0041462
