============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  12 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  142  2 .3449136E+07   1200021E-01 -.2663E+04 -.1681E+03   .9986722 -.0454580 -.0242378
T  143  2 .3393362E+07   1200018E-01  .1324E+04  .1082E+04   .9997751  .0124874  .0171393
T  144  2 .3363919E+07   1200013E-01  .1010E+04 -.7168E+03   .9998642  .0162706 -.0026255
T  145  2 .3487794E+07   1200020E-01  .1035E+03  .7263E+03   .9996007  .0000114  .0282557
T  146  2 .3425831E+07   1200002E-01 -.3856E+04 -.1429E+04   .9984226 -.0561151 -.0018223
T  147  2 .3435594E+07   1200000E-01  .2328E+04 -.2288E+04   .9999231  .0110528 -.0056234
T  148  2 .3356224E+07   1200018E-01  .7045E+02  .1053E+03   .9996374  .0261450  .0064389
T  149  2 .3311602E+07   1200018E-01 -.1847E+04 -.2550E+03   .9993333 -.0348057  .0110264
T  150  2 .3371621E+07   1200025E-01 -.1542E+03  .8000E+03   .9999059  .0022773  .0135285
T  151  2 .3369030E+07   1200020E-01  .4025E+04  .1725E+04   .9987249  .0450782  .0227274
T  152  2 .3362369E+07   1200004E-01  .1883E+03  .9470E+01   .9999840  .0047988 -.0030085
T  153  2 .3351678E+07   1200017E-01 -.1324E+04 -.9053E+03   .9978871 -.0210602 -.0614633
T  154  2 .3396643E+07   1200015E-01  .6861E+02  .2299E+04   .9992448 -.0105705  .0373911
T  155  2 .3388301E+07   1200017E-01  .4087E+03 -.1722E+04   .9998068 -.0146814 -.0130677
T  156  2 .3369810E+07   1200017E-01 -.4162E+03 -.1023E+04   .9989625 -.0276229 -.0362056
T  157  2 .3404118E+07   1200023E-01  .1530E+04 -.1765E+04   .9989585  .0352737 -.0289414
T  158  2 .3430104E+07   1200002E-01  .1693E+03 -.5544E+03   .9999641 -.0084186 -.0010043
T  159  2 .3389297E+07   1200014E-01  .3173E+03 -.5390E+03   .9997578 -.0050528  .0214185
T  160  2 .3374038E+07   1200018E-01 -.2698E+03  .1077E+04   .9998521  .0095069  .0143351
T  161  2 .3388379E+07   1200020E-01 -.8856E+03  .4780E+03   .9999584 -.0071923  .0056077
T  162  2 .3407725E+07   1200021E-01 -.6107E+03  .7869E+03   .9999361  .0032283  .0108313
T  163  2 .3395250E+07   1200017E-01 -.6188E+03  .6868E+03   .9996274 -.0260583  .0081313
T  164  2 .3322061E+07   1200002E-01 -.1385E+04  .1858E+04   .9997375 -.0187146  .0132202
T  165  2 .3391553E+07   1200017E-01 -.5982E+03  .8844E+03   .9999687  .0078730 -.0007414
T  166  2 .3412461E+07   1200012E-01  .3529E+04  .2338E+03   .9994308  .0328195 -.0078135
T  167  2 .3487980E+07   1200024E-01 -.1117E+03 -.8316E+03   .9999383  .0055812 -.0096047
T  168  2 .3404370E+07   1200025E-01  .1182E+03  .9155E+03   .9999166  .0057238  .0115748
T  169  2 .3432227E+07   1200007E-01 -.1987E+04  .2914E+04   .9996100 -.0042339  .0276013
T  170  2 .3397131E+07   1200023E-01  .8170E+03 -.1088E+04   .9997760  .0055679 -.0204184
T  171  2 .3436645E+07   1200024E-01  .3473E+03  .6659E+03   .9998455  .0114175  .0133618
T  172  2 .3465944E+07   1200022E-01  .4764E+03  .1271E+04   .9994366  .0041290  .0333070
T  173  2 .3413434E+07   1200001E-01  .5114E+03  .1835E+04   .9988433  .0022370  .0480323
T  174  2 .3384889E+07   1200007E-01  .6995E+03  .3616E+03   .9988551  .0432689 -.0204026
T  175  2 .3288714E+07   1200008E-01 -.1894E+04  .1130E+04   .9996153 -.0271884  .0054774
T  176  2 .3396323E+07   1200000E-01  .8721E+03 -.6015E+03   .9996817  .0001906 -.0252270
T  177  2 .3366138E+07   1200023E-01 -.3238E+03  .8049E+03   .9999594 -.0029384 -.0085181
T  178  2 .3450784E+07   1200005E-01  .1091E+03  .3337E+03   .9999700  .0025116  .0073255
T  179  2 .3389484E+07   1200014E-01  .1092E+04 -.3559E+03   .9991155  .0349451  .0233885
T  180  2 .3428717E+07   1200016E-01  .6079E+03  .1043E+04   .9997141  .0216383  .0101710
T  181  2 .3386090E+07   1200008E-01 -.2403E+03  .3205E+03   .9999495 -.0098482 -.0019942
T  182  2 .3422982E+07   1200020E-01  .1193E+03 -.1883E+04   .9985625  .0088585 -.0528621
T  183  2 .3363615E+07   1200013E-01 -.1305E+03  .2148E+03   .9999503  .0063845  .0076592
T  184  2 .3398742E+07   1200021E-01  .2826E+04 -.3513E+03   .9992335  .0380321 -.0092745
T  185  2 .3405735E+07   1200021E-01 -.1094E+04  .1166E+03   .9996462 -.0265202 -.0020476
T  186  2 .3375259E+07   1200017E-01  .1026E+04 -.3116E+04   .9994031  .0165251 -.0303381
T  187  2 .3371292E+07   1200003E-01 -.3355E+03 -.9366E+03   .9999454 -.0063646 -.0082824
T  188  2 .3391525E+07   1200006E-01 -.1450E+04  .3723E+04   .9980416 -.0174958  .0600573
T  189  2 .3354215E+07   1200019E-01  .1673E+04 -.2488E+02   .9996501  .0259929 -.0049001
T  190  2 .3383686E+07   1200012E-01  .1317E+03 -.6529E+03   .9999323  .0114862  .0018470
T  191  2 .3437579E+07   1200025E-01 -.4584E+02 -.1360E+04   .9993967 -.0020853 -.0346677
T  192  2 .3374607E+07   1200024E-01  .1720E+04 -.6625E+03   .9993116  .0367422 -.0051315
T  193  2 .3398825E+07   1200001E-01 -.1528E+04  .1782E+04   .9998828 -.0153033 -.0004292
T  194  2 .3424525E+07   1200019E-01 -.2895E+03 -.6988E+02   .9999540 -.0053465 -.0079580
T  195  2 .3448076E+07   1200024E-01  .2014E+04 -.3445E+02   .9993063  .0360760  .0092480
T  196  2 .3337837E+07   1200001E-01 -.1614E+04 -.6110E+03   .9997879 -.0134726 -.0155767
T  197  2 .3368677E+07   1200010E-01 -.1237E+04 -.1336E+04   .9994957 -.0316466 -.0026337
T  198  2 .3349975E+07   1200003E-01  .9418E+02  .1473E+04   .9998021 -.0127441  .0152758
T  199  2 .3436538E+07   1200016E-01  .1290E+04 -.2900E+02   .9995177  .0181775 -.0251786
T  200  2 .3333253E+07   1200005E-01  .1708E+02  .4853E+03   .9999453  .0104479  .0004583
T  201  2 .3409922E+07   1200004E-01 -.1529E+03  .2333E+04   .9994241 -.0080299  .0329681
T  202  2 .3307144E+07   1200017E-01  .2012E+03  .4678E+03   .9998898 -.0114465  .0094556
T  203  2 .3427087E+07   1200015E-01  .1056E+04 -.4765E+03   .9997005  .0241645 -.0038730
T  204  2 .3360309E+07   1200018E-01 -.1249E+04 -.6679E+03   .9987833 -.0471253 -.0145320
T  205  2 .3363972E+07   1200010E-01  .1131E+03  .6165E+03   .9999683  .0052345  .0060002
T  206  2 .3372146E+07   1200024E-01  .1761E+04 -.4335E+04   .9990476  .0400060 -.0174179
T  207  2 .3357574E+07   1200023E-01  .1596E+04 -.1274E+04   .9995104  .0186583 -.0251179
T  208  2 .3444235E+07   1200021E-01  .8803E+03 -.9407E+01   .9993887  .0331458  .0111126
T  209  2 .3448643E+07   1200014E-01  .2078E+04  .5475E+02   .9997834  .0207709 -.0013496
T  210  2 .3435856E+07   1200018E-01  .2030E+04  .3038E+04   .9983439  .0573187  .0049052
T  211  2 .3356048E+07   1200018E-01 -.4780E+03  .6909E+03   .9995068 -.0208186  .0235085
T  212  2 .3410439E+07   1200016E-01  .9226E+03  .3830E+03   .9994888  .0288988  .0136762
T  213  2 .3410066E+07   1200011E-01  .2885E+03 -.1449E+04   .9985842  .0195317 -.0494785
T  214  2 .3452469E+07   1200006E-01 -.6587E+04 -.3351E+03   .9955355 -.0943719  .0017515
T  215  2 .3363491E+07   1200007E-01 -.1567E+04  .8037E+03   .9972566 -.0317309  .0668765
T  216  2 .3349156E+07   1200009E-01 -.3020E+04  .7193E+04   .9874552 -.0750675  .1389140
T  217  2 .3450173E+07   1200017E-01  .1264E+04 -.1058E+04   .9996029  .0210249 -.0187617
T  218  2 .3371225E+07   1200020E-01  .1749E+04  .1116E+04   .9991819  .0383604  .0128078
T  219  2 .3355037E+07   1200023E-01  .1200E+03 -.1770E+04   .9994646  .0037791 -.0325004
T  220  2 .3385988E+07   1200021E-01 -.8183E+03  .7435E+03   .9992291 -.0296723  .0257061
T  221  2 .3411197E+07   1200025E-01 -.1189E+04 -.8661E+03   .9999189  .0069443 -.0106796
T  222  2 .3428928E+07   1200016E-01  .1028E+04  .9677E+03   .9998942  .0026027  .0143098
T  223  2 .3389660E+07   1200013E-01 -.1005E+04  .1685E+04   .9990371 -.0430867  .0082756
T  224  2 .3344977E+07   1200017E-01  .1721E+04  .1285E+04   .9997276  .0229274  .0043645
T  225  2 .3448829E+07   1200020E-01 -.6086E+02 -.1359E+04   .9997579 -.0000477 -.0220027
T  226  2 .3398978E+07   1200021E-01  .9208E+03 -.1207E+04   .9998069  .0131186 -.0146331
T  227  2 .3380290E+07   1200018E-01 -.1400E+04 -.8641E+03   .9996120 -.0269892  .0068823
T  228  2 .3448572E+07   1200014E-01 -.1144E+04 -.9430E+03   .9985262 -.0083669 -.0536224
T  229  2 .3368514E+07   1200004E-01 -.7109E+02  .5360E+03   .9993973 -.0298471  .0177239
T  230  2 .3406782E+07   1200018E-01  .1117E+04  .8662E+03   .9983132  .0573006  .0093485
T  231  2 .3363332E+07   1200019E-01 -.3574E+03  .6697E+03   .9998457 -.0116124  .0131837
T  232  2 .3472266E+07   1200023E-01 -.9736E+03  .2223E+04   .9997432  .0205368  .0095810
T  233  2 .3398463E+07   1200015E-01  .9605E+03  .2233E+03   .9999629  .0075145  .0042194
T  234  2 .3413621E+07   1200013E-01 -.1375E+03  .9311E+02   .9999855  .0018985 -.0050377
T  235  2 .3405508E+07   1200000E-01  .1162E+04 -.5439E+03   .9997715  .0206595 -.0054898
T  236  2 .3398341E+07   1200010E-01 -.5680E+02 -.1118E+04   .9999673  .0039614 -.0070561
T  237  2 .3405098E+07   1200000E-01  .2351E+04 -.2124E+04   .9995215  .0264879 -.0159767
T  238  2 .3341330E+07   1200010E-01 -.9947E+03 -.4885E+03   .9996194 -.0260530 -.0090705
