============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar( 3.59 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  137  2 .5103129E+07   3600036E-02  .7171E+02  .5074E+02   .9999876  .0036513  .0033916
T  138  2 .5083515E+07   3600144E-02 -.2858E+02 -.6177E+02   .9999851 -.0054358 -.0004687
T  139  2 .5089624E+07   3600035E-02 -.5618E+02  .3411E+02   .9999869 -.0049758  .0011981
T  140  2 .5077323E+07   3600214E-02  .1068E+03  .1183E+03   .9999536  .0064348  .0071644
T  141  2 .5080544E+07   3600104E-02  .2482E+03  .1495E+03   .9998766  .0147167  .0055039
T  142  2 .5073746E+07   3600004E-02 -.1577E+03  .7909E+02   .9999485 -.0094340  .0037291
T  143  2 .5075116E+07   3600208E-02  .3051E+01  .1860E+02   .9999844 -.0055603  .0004278
T  144  2 .5060124E+07   3600194E-02 -.1099E+03  .9047E+02   .9999683 -.0039685  .0068973
T  145  2 .5066405E+07   3600111E-02  .1219E+02 -.1045E+03   .9999571 -.0009066 -.0092233
T  146  2 .5095028E+07   3600088E-02 -.1810E+02 -.2136E+02   .9999539 -.0082469 -.0049253
T  147  2 .5064303E+07   3600210E-02 -.4034E+02  .4553E+02   .9999753 -.0069054  .0013120
T  148  2 .5061559E+07   3600154E-02  .2130E+03  .1107E+03   .9999470  .0084004  .0059593
T  149  2 .5072401E+07   3600161E-02 -.1394E+03  .1082E+02   .9999802 -.0060142  .0018683
T  150  2 .5075514E+07   3600216E-02  .8070E+02 -.3399E+02   .9999994  .0008226  .0007175
T  151  2 .5091712E+07   3600113E-02  .1841E+03  .8550E+02   .9999784  .0047478  .0045432
T  152  2 .5078123E+07   3600034E-02 -.4677E+02  .7681E+02   .9999983 -.0002410  .0018381
T  153  2 .5072978E+07   3600097E-02 -.8517E+02 -.1118E+02   .9999913 -.0032343 -.0026472
T  154  2 .5078029E+07   3600177E-02  .1224E+03 -.1861E+02   .9999670  .0060677 -.0053994
T  155  2 .5077284E+07   3600196E-02  .2571E+03 -.7147E+02   .9999800  .0063287  .0001529
T  156  2 .5059618E+07   3600059E-02 -.4560E+02 -.7832E+01   .9999967 -.0024494  .0008072
T  157  2 .5081087E+07   3600069E-02 -.4224E+02 -.6814E+02   .9999896 -.0023224 -.0039151
